Date,ADA,ATOM,AVAX,BCH,BNB,BTC,DOGE,DOT,ETC,ETH,FIL,GRT,HBAR,ICP,IMX,INJ,LINK,LTC,MATIC,NEAR,RNDR,RUNE,SHIB,SOL,STX,TRX,UNI,VET,XLM,XRP
2022/2/1,1.096,28.84,73.33,287.7,384.2,38694.59,0.1423,19.57,26.79,2787.23,20.89,0.4387,0.2291,20.16,2.877,4.321,16.98,115,1.647,11.211,3.74,4.145,2.17E-05,110.02,1.489,0.05979,11.11,0.05452,0.2019,0.6284
2022/2/2,1.027,26.31,67.79,277.8,366.9,36896.36,0.137,18.76,26.26,2680.67,20.17,0.4044,0.2202,21.59,3.049,4.068,15.78,108.3,1.538,10.863,3.26,3.83,2.06E-05,101.88,1.402,0.05847,10.52,0.05192,0.193,0.6006
2022/2/3,1.061,29.67,68.44,281.2,372.3,37311.61,0.1379,18.92,27.92,2695.46,20.35,0.4062,0.2373,20.79,3.385,4.134,16.3,111,1.556,10.959,3.367,3.859,2.08E-05,101.77,1.425,0.05981,10.41,0.05248,0.1951,0.6102
2022/2/4,1.138,31.1,77.77,306.2,399.5,41574.25,0.1478,20.48,29.69,2994.99,21.62,0.4405,0.2486,22.26,2.994,4.48,17.5,121.3,1.694,12.984,3.61,4.286,2.22E-05,112.62,1.538,0.06441,11.18,0.05862,0.209,0.6555
2022/2/5,1.125,30.73,77.01,320.5,413.7,41382.59,0.1469,21.33,29.42,3012.65,21.98,0.4478,0.2576,22.24,2.872,4.441,17.76,121.7,1.711,12.815,3.712,4.676,2.25E-05,113.75,1.577,0.06467,11.25,0.05909,0.2131,0.6656
2022/2/6,1.143,31.26,78.93,324.7,419.9,42380.87,0.1539,21.91,29.89,3054.99,22.45,0.4729,0.2582,23.36,2.827,4.742,18.07,127.6,1.738,13.495,3.573,4.869,2.85E-05,115.28,1.676,0.06617,11.67,0.06128,0.2238,0.6825
2022/2/7,1.199,31.63,83.2,343.1,433.5,43839.99,0.1653,22.35,32.67,3139.77,24.52,0.5066,0.2611,24.02,2.861,5.121,18.88,137.4,2.018,13.503,3.643,5.02,3.26E-05,117.55,1.715,0.06852,12.37,0.06781,0.2393,0.8314
2022/2/8,1.176,30.39,86.34,335.5,407.8,44042.99,0.1581,21.66,32.07,3116.69,24.62,0.4741,0.2537,23,2.779,4.807,18.38,133.7,1.941,12.778,3.393,4.805,3.10E-05,113.45,1.687,0.06806,11.94,0.0643,0.242,0.8763
2022/2/9,1.195,30.93,90.05,345.9,422.9,44372.72,0.1594,21.94,33.79,3243.94,24.29,0.4875,0.2567,23.07,2.817,4.916,18.67,140.1,2.037,12.995,3.329,4.915,3.29E-05,113.93,1.721,0.06991,12.32,0.06701,0.2387,0.8697
2022/2/10,1.15,29.08,91.16,340.7,414.7,43495.44,0.1514,20.51,34.34,3072.49,23.14,0.4611,0.246,21.57,2.599,4.999,17.5,134.6,1.896,11.787,3.075,4.53,3.08E-05,106.17,1.619,0.0685,11.41,0.06283,0.2314,0.8253
2022/2/11,1.079,26.57,81.75,320.9,400,42373.73,0.1446,18.98,32.69,2927.54,21.1,0.4182,0.2336,19.82,2.303,7.368,16.21,125.6,1.716,10.854,2.677,4.099,2.87E-05,96.53,1.509,0.06399,10.64,0.05791,0.2154,0.7591
2022/2/12,1.059,27.05,81.31,330.5,403.6,42217.87,0.1444,18.82,31.71,2918.88,20.87,0.4189,0.2313,20.04,2.302,7.21,15.95,126.7,1.701,10.793,2.694,4.058,2.91E-05,95.96,1.515,0.06352,10.65,0.05757,0.2181,0.8223
2022/2/13,1.042,26.18,77.91,333.6,397.9,42053.66,0.148,18.73,32.47,2871.13,20.57,0.406,0.2266,19.75,2.291,6.07,15.6,125.6,1.659,10.38,2.566,3.917,3.01E-05,92.85,1.445,0.06427,10.33,0.05628,0.2104,0.8057
2022/2/14,1.049,27.14,81.86,330.5,403.4,42535.94,0.1457,18.7,31.4,2929.75,20.71,0.404,0.2416,20.73,2.293,6.036,15.9,124.6,1.656,10.554,2.831,4.112,2.96E-05,96.37,1.465,0.06442,10.61,0.05618,0.2107,0.8012
2022/2/15,1.107,28.97,92.97,343.2,432.4,44544.86,0.1517,20.16,33.47,3183.52,22.35,0.493,0.2589,21.77,2.478,6.221,17.34,131.5,1.871,11.51,3.249,4.465,3.12E-05,105.52,1.587,0.06685,11.47,0.06107,0.221,0.8515
2022/2/16,1.082,28.5,95.32,334.3,427.3,43873.56,0.1487,19.76,32.24,3122.3,23.06,0.487,0.2609,22.08,2.395,6.049,17.12,127.7,1.836,11.223,3.201,4.585,3.09E-05,101.86,1.548,0.0664,11.22,0.06029,0.2187,0.8366
2022/2/17,1.02,28.06,88.24,313,402.4,40515.7,0.1383,18.16,29.43,2891.87,20.53,0.4367,0.2345,19.85,2.125,5.442,15.59,116.3,1.661,10.445,2.793,4.153,2.82E-05,93.52,1.391,0.06249,10.4,0.05456,0.2022,0.769
2022/2/18,0.995,26.86,83.67,310,399.2,39974.44,0.1386,17.82,28.95,2779.48,21.02,0.4124,0.2287,19.62,2.048,5.29,15.19,114.9,1.593,10.275,2.696,4.039,2.81E-05,89.86,1.336,0.06306,10.16,0.05317,0.2006,0.784
2022/2/19,0.996,26.68,85.01,311.9,399.8,40079.17,0.1409,17.84,28.69,2763.63,20.81,0.4173,0.2323,20,1.976,6.697,15.51,115.5,1.632,10.044,2.614,4.022,2.75E-05,91.27,1.315,0.06348,10.03,0.05256,0.2041,0.8215
2022/2/20,0.931,26.08,77.37,302.6,380.6,38386.89,0.1366,16.91,27.23,2621.99,19.79,0.3915,0.215,18.7,1.813,5.64,14.6,110.6,1.512,9.293,2.463,3.804,2.55E-05,90.72,1.23,0.06199,9.35,0.0492,0.1945,0.7769
2022/2/21,0.856,23.82,70.04,283.2,356.6,37008.16,0.1282,16.18,24.98,2568.02,18.63,0.3571,0.2008,17.77,1.57,4.887,13.51,102.8,1.405,8.545,2.361,3.498,2.41E-05,82.96,1.11,0.05954,8.53,0.04522,0.178,0.7018
2022/2/22,0.888,24.81,74.42,293.2,374.3,38230.33,0.1313,16.6,26.66,2636.29,19.17,0.3823,0.2354,17.92,1.652,5.519,13.99,107.4,1.462,8.965,2.46,3.642,2.50E-05,86.38,1.162,0.06265,8.86,0.04728,0.1857,0.7209
2022/2/23,0.866,25.18,73.47,288.3,365.6,37250.01,0.1273,15.97,26.54,2579.71,18.45,0.3533,0.2181,17.31,1.555,5.395,13.35,105.4,1.436,8.556,2.354,3.48,2.49E-05,84.59,1.136,0.06081,8.74,0.04549,0.1818,0.6967
2022/2/24,0.853,24.85,76.39,300.6,361.2,38327.21,0.1241,16.16,26.52,2596.2,18.43,0.3616,0.216,16.6,1.504,5.228,13.27,104.1,1.441,8.488,2.34,3.466,2.38E-05,89.36,1.114,0.0611,8.82,0.0446,0.1824,0.6963
2022/2/25,0.898,27.27,80.98,308.5,375,39219.17,0.1276,17.25,27.99,2768.49,18.93,0.3607,0.2248,17.67,1.535,5.589,14.36,109.2,1.551,8.935,2.587,3.67,2.49E-05,92.71,1.159,0.05943,9.25,0.04753,0.1909,0.7699
